English name,Scientific name,Book,NNS trend (Y/N),Tracking data (Y/N),Ringing data (Y/N),Other data source,Population level (Y/N),Bre,Win
African Stonechat,Saxicola torquatus,Y,N,N,N,Y,N,N,Y
Amur Falcon,Falco amurensis,Y,Y,Y,N,N,Y,Y,Y
Bar-headed Goose,Anser indicus,Y,N,,,,,,
Barn Swallow,Hirundo rustica,Y,,,,,,,
Black Baza,Aviceda leuphotes,Y,,,,,,,
Black Kite,Milvus migrans,Y,Y,N,N,N,Y,N,N
Black Redstart,Phoenicurus ochruros,Y,Y,N,N,Y,Y,Y,Y
Black-throated Thrush,Turdus atrogularis,Y,Y,N,N,Y,N,,N
Black-winged Stilt,Himantopus himantopus,Y,N,N,N,N,N,N,N
Bluethroat,Cyanecula svecica,Y,N,Y,N,N,N,Y,Y
Blyth Reed Warbler,Acrocephalus dumetorum,Y,,,,,,,
Booted Eagle,Hieraaetus pennatus,Y,N,N,N,N,N,Y,Y
Booted Warbler,Iduna caligata,Y,,,,,,,
Brown Shrike,Lanius cristatus,Y,N,N,N,N,N,Y,Y
Cinereous Vulture,Aegypius monachus,Y,,,,,,,
Citrine Wagtail,Motacilla citreola,Y,Y,Y,N,N,Y,N,Y
Collared Pratincole,Glareola pratincola,Y,,,,,,,
Common Buzzard,Buteo buteo,Y,,,,,,,
Common Crane,Grus grus,Y,N,N,N,N,N,Y,Y
Common Cuckoo,Cuculus canorus,Y,N,Y,N,N,Y,Y,
Common Greenshank,Tringa nebularia,Y,N,Y,N,N,Y,Y,Y
Common Redshank,Tringa totanus,Y,N,Y,N,N,Y,N,Y
Common Reed Bunting,Emberiza schoeniclus,Y,Y,,,,,,
Common Ringed Plover,Charadrius hiaticula,Y,N,Y,Y,N,,Y,Y
Common Rosefinch,Carpodacus erythrinus,Y,Y,Y,Y,,Y,Y,Y
Common Sandpiper,Actitis hypoleucos,Y,,,,,,,
Common Shelduck,Tadorna tadorna,Y,N,Y,N,N,Y,Y,Y
Common Snipe,Gallinago gallinago,Y,Y,N,Y,N,Y,Y,Y
Common Swift,Apus apus,Y,Y,Y,N,N,Y,Y,Y
Crested Honey-Buzzard,Pernis ptilorhynchus,Y,,,,,,,
Curlew Sandpiper,Calidris ferruginea,Y,N,N,Y,Observation data,Y,Y,Y
Demoiselle Crane,Anthropoides virgo,Y,Y,Y,N,N,Y,Y,Y
Dunlin,Calidris alpina,Y,N,Y,N,N,N,Y,Y
Dusky Thrush,Turdus eunomus,Y,N,N,N,Y,N,,N
Eastern Imperial Eagle,Aquila heliaca,Y,Y,Y,N,N,N,,
Eastern Marsh Harrier,Circus spilonatus,Y,,,,,,,
Egyptian Vulture,Neophron percnopterus,Y,,,,,,,
Eurasian Curlew ,Numenius arquata,Y,N,Y,N,N,N,,
Eurasian Hobby,Falco subbuteo,Y,N,Y,N,N,N,Y,Y
Eurasian Hoopoe ,Upupa epops,Y,N,N,N,Y,Y,,
Eurasian Kestrel,Falco tinnunculus,Y,Y,Y,N,N,Y,Y,Y
Eurasian Nightjar,Caprimulgus europaeus,N,,,,,,,
Eurasian Oystercatcher,Haematopus ostralegus,Y,,,,,,,
Eurasian Sparrowhawk,Accipiter nisus,Y,Y,Y,N,N,N,Y,Y
Eurasian Whimbrel,Numenius phaeopus,Y,N,N,N,N,Y,,
Eurasian Wigeon,Mareca penelope,Y,N,N,N,N,N,Y,Y
Eurasian Woodcock,Scolopax rusticola,Y,Y,Y,Y,N,Y,,
Eurasian Wryneck,Jynx torquilla,Y,Y,N,Y,N,Y,,Y
Gadwall,Mareca strepera,Y,N,N,N,N,N,Y,Y
Godlewski Bunting,Emberiza godlewskii,Y,,,,,,,
Gray Wagtail,Motacilla cinerea,Y,N,N,N,N,N,N,N
Greater Short-toed Lark,Calandrella brachydactyla,Y,Y,,,Book record,,Y,Y
Greater Spotted Eagle,Clanga clanga,Y,N,Y,N,N,N,,Y
Green Sandpiper,Tringa ochropus,Y,,,,,,,
Greenish Warbler,Phylloscopus trochiloides,Y,Y,N,N,Y,Y,N,N
Grey Plover,Pluvialis squatarola,Y,Y,Y,N,N,Y,,
Greylag Goose ,Anser anser,Y,Y,Y,N,N,Y,,
Hen Harrier,Circus cyaneus,Y,Y,,,,,,N
Himalayan Vulture,Gyps himalayensis,Y,,,,,,,
House Martin,Delichon urbicum,Y,,,,,,,
Hume's Short-toed Lark,Calandrella acutirostris,Y,N,N,N,Observation data,Y,,
Jack Snipe,Lymnocryptes minimus,Y,Y,N,Y,N,Y,,
Kentish Plover,Charadrius alexandrinus,Y,Y,,,,,N,N
Lesser Kestrel,Falco naumanni,Y,N,Y,N,N,N,Y,Y
Lesser Sand Plover,Charadrius mongolus,Y,N,N,Y,Trapping data,Y,,
Little Bunting,Emberiza pusilla,Y,N,,,,,Y,Y
Little Ringed Plover,Charadrius dubius,Y,N,Y,N,N,N,N,N
Little Stint,Calidris minuta,Y,N,N,Y,Report stated,,Y,N
Long-legged Buzzard,Buteo rufinus,Y,N,N,N,Book record,Y,Y,Y
Marsh Sandpiper,Tringa stagnatilis,Y,N,N,N,Y,N,Y,Y
Merlin,Falco columbarius,Y,N,,,,,,
Montagu Harrier,Circus pygargus,Y,,,,,,,
Northern Lapwing,Vanellus vanellus,Y,Y,N,N,Y,N,Y,N
Northern Shoveler,Spatula clypeata,Y,Y,N,N,Y,N,N,Y
Northern Wheatear,Oenanthe oenanthe,N,,,,,,Y,Y
Nothern Pintail,Anas acuta,Y,,,,,,,
Oriental Hobby,Falco severus,Y,,,,,,,
Pacific Golden Plover,Pluvialis fulva,Y,N,N,N,Y,Y,,
Pallas's Fish-Eagle,Haliaeetus leucoryphus,Y,N,N,N,N,N,,
Pallid Harrier,Circus macrourus,Y,Y,Y,Y,,,Y,Y
Peregrine Falcon,Falco peregrines,Y,,,,,,,
Pied Avocet,Recurvirostra avosetta,Y,Y,N,N,Y,N,N,N
Pied harrier,Circus melanoleucos,Y,Y,,,,,,
Pine Bunting,Emberiza leucocephalos,Y,Y,N,Y,N,N,Y,Y
Pintail Snipe,Gallinago stenura,Y,,,,,,,
Red Kite,Milvus milvus,Y,,,,,,,
Red-necked Phalarope,Phalaropus lobatus,Y,,,,,,,
Red-throated Pipit,Anthus cervinus,Y,Y,N,Y,N,Y,,
Richard's Pipit,Anthus richardi,Y,Y,Y,Y,N,Y,,
Ruff,Calidris pugnax,Y,N,N,Y,N,Y,Y,N
Saker Falcon,Falco cherrug,Y,Y,Y,N,N,Y,,
Sand Martin,Riparia riparia,Y,,,,,,,
Short-toed Snake-Eagle,Circaetus gallicus,Y,Y,Y,N,Observation data,Y,N,N
Spotted Redshank,Tringa erythropus,Y,N,N,N,Y,N,Y,Y
Steppe Eagle,Aquila nipalensis,Y,Y,Y,N,N,N,Y,Y
Temminck's Stint,Calidris temminckii,Y,N,,Y,Observation data,,,
Terek Sandpiper,Xenus cinereus,Y,N,N,N,Y,N,Y,Y
Tickell Leaf Warbler,Phylloscopus affinis,Y,,,,,,,
Tree Pipit,Anthus trivialis,Y,Y,N,Y,N,Y,Y,Y
Water Pipit,Anthus spinoletta,Y,Y,,,,,,N
Western Marsh-Harrier,Circus aeruginosus,Y,N,Y,N,N,Y/N,,
Western Yellow Wagtail,Motacilla flava,Y,Y,N,N,Y,Y,Y,N
White Wagtail,Motacilla alba,Y,,,,,,,
White-tailed Eagle,Haliaeetus albicilla,Y,N,N,N,N,N,,N
Willow Warbler,Phylloscopus trochilus,N,,,,,,Y,Y
Wood Sandpiper,Tringa glareola,Y,Y,N,N,Y,N,N,N
Wood Snipe,Gallinago nemoricola,Y,,,,,,,
Yellow-breasted Bunting,Emberiza aureola,Y,Y,Y,Y,N,N,Y,Y
